title,company,company_link,company_logo,location,job_link,employment_details,employment_pay,description_list,employment_skills,date_posted,date_updated,scraped_at
 Software Engineer (Product) ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/15724b36-a89e-42ef-ab84-7bedfddc92b7,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer (Product) to Develop, design, create, modify, and/or test software applications or systems for various products or software services. (Ref code(s) REQ-2310-128086: $176413 - $194000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 10 days ago,Updated Never,2023-12-18 23:52:48
 Software Engineer (Product) ," Meta Platforms, Inc. (f/k/a Facebook, Inc.)  ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/dd6315b4-f854-4efa-bc66-3035ef5a68d4,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer (Product) to Develop, design, create, modify, and/or test software applications or systems for various products or software services.  Telecommuting is permitted from anywhere in the U.S.  (Ref code(s) REQ-2310-128099: $208186 - $235000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 10 days ago,Updated Never,2023-12-18 23:52:48
 Hybrid Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," North Syracuse, NY, USA ",https://www.dice.com/job-detail/43233da3-9c24-4ba4-b35a-917f4edfd987,Full Time,,"- Job Responsibilities:Design, develop and maintain softwareParticipate in laboratory and field integration testing to validate softwareDocument and communicate proposed software solutions with integrated, cross-functional engineering teamsParticipate in software design and code reviews to ensure delivery of quality products and enhance skillsets- Design, develop and maintain software- Participate in laboratory and field integration testing to validate software- Document and communicate proposed software solutions with integrated, cross-functional engineering teams- Participate in software design and code reviews to ensure delivery of quality products and enhance skillsets
- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Innovation,DoD,Integration testing,Aerospace,SAP BASIS,Communication,Brand,Embedded systems,Science,React.js,A+,Computer science,Onshore,Microsoft Windows,AngularJS,Network,MATLAB,Operating systems,Design,Security clearance,Python,Computer engineering,Software documentation,Scripting,C++,Recruiting,JavaScript frameworks,Software design,Linux,Software engineering",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:48
 Hybrid Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," North Syracuse, NY, USA ",https://www.dice.com/job-detail/cb5a9372-1dd2-4a70-8aa9-530657552093,Full Time,,"- Design, develop and maintain software- Participate in laboratory and field integration testing to validate software- Document and communicate proposed software solutions with integrated, cross-functional engineering teams- Participate in software design and code reviews to ensure delivery of quality products and enhance skillsets
- Bachelor's degree in Computer Science, Computer Engineering or Software Engineering- 2+ years of experience developing software- Experience with C++- Knowledge of Linux-based and Windows operating systems- Knowledge of scripting languages such as Python and MATLAB is a plus- Knowledge of JavaScript frameworks such as React and AngularJS is a plus- Must be able to demonstrate strong interpersonal and communication skills- Eligible to receive a US Secret Clearance (clearance not required for position)
- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","AngularJS,DoD,Aerospace,A+,Python,Scripting,Software documentation,Software design,Innovation,Microsoft Windows,Recruiting,MATLAB,Network,Computer science,Computer engineering,Brand,Software engineering,Integration testing,C++,Science,JavaScript frameworks,React.js,Linux,Design,Security clearance,Embedded systems,Operating systems,Communication",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:48
" Software Engineer, Systems "," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/9f094b81-fc39-4646-b024-46efb48ac6ac,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) has the following position in Menlo Park, CA.

Software Engineer, Systems: Research, design, develop, build and test operating systems-level software, compilers, and network distribution software for large distributed components that run our applications. (ref code REQ-2310-128356: $247940 - $278000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 4 days ago,Updated Never,2023-12-18 23:52:48
 Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Richardson, TX, USA ",https://www.dice.com/job-detail/44f35fa5-68f7-4803-adc1-53e5fc8b7451,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Linux,Boost,Science,Operating systems,Object-Oriented Programming,Network,Unix,Computer hardware,Computer science,Supervision,Embedded systems,A+,Application development,Problem solving,SOLID,Interfaces,Planning,Software development,C++,Qt,Communication,Software development methodology,Brand,Telecommunications,Innovation,Security clearance,Recruiting,Design,DoD",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:47
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Peoria, IL, USA ",https://www.dice.com/job-detail/e68f7387-85a2-4c2c-bab0-171778d53913,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Software deployment,Business analysis,Customer service,Network,Operating systems,Functional requirements,Science,Computer hardware,Compilers,Software engineering,Computer science,Scalability,Development testing,Embedded C,Embedded software,Distribution,Schematics,Embedded systems,Management,C,Problem solving,SOLID,Software development,C++,Data,Communication,Military,Visual Basic,Brand,Innovation,Recruiting,Design,Database,Aerospace,SQL,Evaluation,Mathematical analysis,Requirements elicitation",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:47
 Software Engineer ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/efb530d1-7a96-48ee-8f7a-b8e20f50d7f1,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer to Help build the next generation of systems behind Meta's products, create web and/or mobile applications that reach over two billion people, and build high-volume servers to support content.  (Ref code(s) REQ-2309-127175: $179465.91 - $194000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 10 days ago,Updated Never,2023-12-18 23:52:47
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," San Diego, CA, USA ",https://www.dice.com/job-detail/11112e52-f7de-407c-bbaa-756d4e5ce550,Full Time,,"- Have in-depth knowledge with real-time embedded software philosophies and practices- Knowledge of Linux kernel internals (process scheduler, memory management, concurrency/synchronization, memory allocation, file systems) and networking subsystems architecture- Strong debugging skills in kernel context- Experience with exercising/validation of system from user space, and knowledge of user space API- Develop embedded software in assembly, C/C++, Rust or other languages, code for microcontrollers (including hardware drivers).- Knowledge of low-level communications, PCIe, Ethernet, SPI and I2C would be desirable.- Review schematics, logic analyzer, and embedded software (bare-metal) trouble-shooting techniques
- Firmware- C/C++- Embedded Linux- Microcontroller- Embedded C- Embedded Software- Linux
- Writing the code on the ARM cores sitting on an FPGA (writing on the FPGA with VHDL)- Knowledge and experience with timing distribution and things around firmware for RF processing (FPGA firmware) for burst detection- This side is more terminal side of the teams doing antennae control protocol- Someone that is on the mac layer, phase array antennae, mobile platforms, iridium,- Embedded Linux environment that goes on the ARM controllers
- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Writing,Process Scheduler,Linux,I2C,Linux kernel,PCI Express,Ethernet,Firmware,Rust,FPGA,Microcontrollers,Computer hardware,Science,Network,Computer networking,Embedded C,Embedded software,Debugging,Distribution,Schematics,Embedded systems,ARM,Management,C,File systems,Logic analyzer,C++,Assembly,Data,Brand,API,Concurrent computing,Innovation,SPI,Vhdl,Real-time,RF,Design,Recruiting,Design review,Leadership,Embedded Linux,Satellite",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:47
 Senior Software Engineer , Jobot ,https://www.dice.com/company/91113390?companyname=Jobot,https://cdn.filestackcontent.com/FohPnARjSV1RBGVwecLu," Charlotte, NC, USA ",https://www.dice.com/job-detail/f6e9ca55-da73-42c8-bf78-4bb91bebf1c3,Full Time,"USD 120,000.00 - 150,000.00 per year","- Remote flexibility. Annual Bonuses, Flexible Scheduling- Employer paid Medical, Vision Dental- Generous 401K Match
- Bachelor's degree in Computer Science, Engineering, or related industry experience- 6+ years of development experience in a Full Stack environment- ASP.NET, C#, SQL, MVC, Azure
","Computer science,Scheduling,mvc,Financial software,ASP.NET,C#,Microsoft Azure,SQL",Posted 11 days ago, - Updated 10 days ago ,2023-12-18 23:52:47
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Herndon, VA, USA ",https://www.dice.com/job-detail/b67fdbd2-5346-4ead-9665-ac5f84c7f4da,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Utilities,Linux,Testing,Presentations,FOCUS,Energy,RTOS,Science,Firmware,Network,Microcontrollers,Operations,Shell scripting,Embedded software,Embedded systems,ARM,C,Management,SAP BASIS,Avionics,Publishing,Software development,C++,Systems design,Arena,Reporting,Brand,Business plans,Innovation,Security clearance,Recruiting,GNU Compiler Collection,DoD,Leadership,Command-line interface,Embedded Linux,Satellite,Documentation",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:46
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Bothell, WA, USA ",https://www.dice.com/job-detail/0dc0fa8c-9224-49e4-91ca-475fc408a381,Full Time,,"- Develop requirements, design, and specifications for embedded system sensors and controllers.- Research, advise and develop appropriate processing techniques for various control applications.- Build embedded native drivers to the metal or for different RTOS systems.- Work with multidisciplinary teams to create and successfully deliver integrated products.- Follow standard development practices for testing and validating drivers.
- Bachelor's degree or higher in Computer Science or Computer Engineering or related major.- 3+ years' experience programming in C/C++, Python and RTOS (such as FreeRTOS).- Experience programming embedded systems.- Working knowledge of software development tool chains, GIT, Jenkins, Bitbucket.- Excellent written and verbal communication skills.
- Previous experience working with Software Defined Radios (SDR).- System design experience for space-based platforms, including analysis, design and test for mission critical software.- Understanding of wireless communication channels and modulation schemes.- Understanding of various networking protocols with an emphasis on the bottom 3 OSI layers.- Digital Signal Processing experience with FPGA's or SOC.- Electrical Engineering degree or minor.
- Embedded C & C++ Development- Firmware- RTOS- Embedded Software- Linux Kernel Drivers- VHDL/Verilog- Simulink- Python
- Electrical Engineering background is preferred- Any experience with FPGAs is a benefit
- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Jenkins,System on a chip,Computer networking,Innovation,Systems analysis/design,Embedded software,FPGA,Firmware,Bitbucket,Aerospace,Specification,Brand,Communication,Embedded systems,C,Science,Control management,Wireless communication,Computer science,RTOS,Testing,OSI,Linux kernel,Embedded C,Simulink,Network,Design,Python,Sensors,Computer engineering,Systems design,Verilog,Electrical engineering,C++,Recruiting,Research,Vhdl,Git,Digital signal processing,ITAR,Software development",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:46
 Software Engineer (Systems) ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/2eeb1756-050e-4e68-8599-23ecbc6511a3,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer (Systems) to Research, design, develop, build and test operating systems-level software, compilers, and network distribution software for large distributed components that run applications.  (Ref code(s) REQ-2309-127101: $138,806 - $158,000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 10 days ago,Updated Never,2023-12-18 23:52:46
" Software Engineer, Product "," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Fremont, CA, USA ",https://www.dice.com/job-detail/a35669f9-c9f5-4ac0-a617-09ed9c68bb58,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) has the following position in Fremont, CA.

Software Engineer, Product: Develop, design, create, modify, and/or test software applications or systems for various products or software services. (ref code REQ-2308-124738: $215793.94 - $235000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 6 days ago,Updated Never,2023-12-18 23:52:46
 Software Engineer (Product) ," Meta Platforms, Inc. (f/k/a Facebook, Inc.)  ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/30aae24b-86b6-470e-860d-805e76d07a21,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer (Product) to Develop, design, create, modify, and/or test software applications or systems for various products or software services. (Ref code(s) REQ-2310-128201: $176413 - $194000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 3 days ago,Updated Never,2023-12-18 23:52:46
 Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Hazelwood, MO, USA ",https://www.dice.com/job-detail/d818ed82-3cf5-41c1-b91d-feea750d134e,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Specification,Development testing,A+,Python,Confluence,Scripting,Information management,Unreal Engine,Innovation,Documentation,Recruiting,Lighting,Software development,Agile,STL,Multithreading,Estimating,Facets,Network,JIRA,Game development,Crucible,Radar,Load balancing,Geographic information system,Brand,Design patterns,Microsoft Visual Studio,Animation,Interfaces,Mathematics,Technical Support,Algebra,Lean methodology,Science,Sensors,Software architecture,Simulation,Design,Research design,Data structure,Atlassian,Embedded systems,IM,Scheduling,Communication,Boost,Marketing operations",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:46
 Software Engineer ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/b9c457b2-be34-4dbb-9237-01e69537ae8c,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer to drive the development of the systems behind Meta’s products, create web applications that serve billions of people, built high-volume servers and be a part of a team that is working to help people connect with others around the globe.  (Ref code(s) REQ-2309-127014: $172480 - $194000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 10 days ago,Updated Never,2023-12-18 23:52:45
 Software Engineer ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/340e914f-478a-41b4-9d96-55929bb9d28e,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer to Research, design, develop, build and test operating systems-level software, compilers, and network distribution software for large distributed components that run our applications.  (Ref code(s) REQ-2309-127314: $186837 - $194000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 10 days ago,Updated Never,2023-12-18 23:52:45
 Software Engineer ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/46c836f2-e599-4b38-9ef4-9f38a5861a19,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer to develop, design, create, modify, and/or test software applications or systems for various products or software services. (Ref code(s) REQ-2309-127076: $173077 - $194000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 10 days ago,Updated Never,2023-12-18 23:52:45
 Senior Software Engineer , Disney Entertainment &amp; ESPN Technology ,https://www.dice.com/company/RTX1d8578?companyname=DisneyEntertainment&amp;ESPNTechnology,https://cdn.filestackcontent.com/DKgl2bTTA3maTfcl1ugc," Raleigh, NC, USA ",https://www.dice.com/job-detail/0b92e74d-5c72-47d3-a09c-5c325740ac9d,Full Time,"USD 142,516.00 - 191,180.00 per year","- 5+ years experience in software development- Proficiency in Rust and the respective ecosystems- Track record of owning and delivering complex projects- Proven dedication  to 24/7 system reliability and availability- Excellent communication skills- Highly organized- Experience building and integrating client code into a larger client codebase- BS in Computer Science or equivalent
- Experience with Streaming Video Playback, including protocols like HLS- Developed and shipped software for consumer devices, eg mobile phones, game consoles, smart speakers, smart TVs- Experience developing in embedded or resource constrained environments- Experience with WASM, Python, Swift, or Brightscript
- Bachelor's degree in computer science-related field or equivalent work experience
","Swift,Mechanics,NumPy,TypeScript,Optimization,REACH,Streaming,Art,Video,Pandas,Media,Customer facing,IT management,Innovation,Advertising,IMPACT,Certification and accreditation,Finance,Rust,Meta-data management,Real-time,Software development,Recruiting,Embedded systems,Management,Python,Organized,Computer science,HLS,Communication,Distribution,Reliability engineering",Posted 6 days ago, - Updated 2 days ago ,2023-12-18 23:52:45
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Linthicum Heights, MD, USA ",https://www.dice.com/job-detail/0974c3bc-4cb3-42a0-a554-8ff3a492bbbe,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Innovation,Embedded software,Real-time,Radar,Specification,Brand,Embedded systems,C,Science,Device drivers,VxWorks,Coverity,Microsoft Visual Studio,Agile,Middleware,Atlassian,Network,MATLAB,Operating systems,Design,Security clearance,Optimization,Application development,Kubernetes,C++,Reporting,Recruiting,Electronic warfare,Linux",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:45
 Sr. Software Engineer , SS & C Technologies Inc ,https://www.dice.com/company/10185448?companyname=SS&CTechnologiesInc,https://cdn.filestackcontent.com/AmAPjVaTTg6lgfxLlItQ," Waltham, MA, USA ",https://www.dice.com/job-detail/188174f4-15d3-4e44-baf6-873d9fe85b29,Full Time,,"- Flexibility: Hybrid Work Model & a Business Casual Dress Code, including jeans- Your Future: 401k Matching Program, Professional Development Reimbursement- Work/Life Balance: Flexible Personal/Vacation Time Off, Sick Leave, Paid Holidays- Your Wellbeing: Medical, Dental, Vision, Employee Assistance Program, Parental Leave- Diversity & Inclusion: Committed to Welcoming, Celebrating and Thriving on Diversity- Training: Hands-On, Team-Customized, including SS&C University- Extra Perks: Discounts on fitness clubs, travel and more!
- Lead the design and development of software applications ensuring they meet the highest standards of reliability, performance, and security.- Collaborate with architects and product teams to contribute to the platform's technical roadmap and future enhancements, gather requirements and translate them into technical specifications and actionable plans.- Use agile development methodologies and promote a culture of continuous improvement, delivering new features to market in a timely and iterative manner.- Collaborate with cross-functional teams, designers, and architects, to brainstorm and propose innovative solutions for complex challenges.- Continuously monitor the performance and stability of micro-services, proactively identifying and resolving any issues that arise.- Contribute to the design and implementation of automated testing strategies to ensure software reliability and scalability.- Mentor and guide junior developers, fostering a culture of innovation, collaboration, and excellence within the development team.- Participate in code reviews and provide constructive feedback to ensure code quality and adherence to best practices.- Assist in creating technical documentation, user guides, and knowledge base articles to support the platform's users and other developers.- Work closely with DevOps and infrastructure teams to ensure seamless integration and deployment of software solutions.- Collaborate with the customer support team to troubleshoot and resolve complex technical issues reported by clients in a timely manner.- Stay updated with the latest technologies, industry trends, and best practices, and proactively recommend and implement improvements to enhance the platform's capabilities and user experience.
- Bachelor's degree in Computer Science, Software Engineering, or a related field with 7 years of experience or Master's degree in Computer Science, Software Engineering, or a related field with 5 years of experience.- Proficiency in both front-end and back-end development is essential. This includes expertise in HTML, CSS, JavaScript, and modern front-end frameworks like React. On the back-end, knowledge of server-side technologies such as Node.js, Python, or C#, and experience with web frameworks like Express and .NET Framework.- Experience in designing and consuming RESTful APIs and understanding of API design principles and best practices.- Experience with NoSQL databases like MongoDB or Cassandra and Knowledge of database design, query optimization, and data modeling.- Experience with caching technologies like Redis and message queues like RabbitMQ.- Experience with unit testing, integration testing, and end-to-end testing. Knowledge of testing frameworks and tools like Jest, Mocha, or Selenium.- Understanding of DevOps principles and experience with tools like Git, Jenkins, Docker, Kubernetes and helm for version control, continuous integration, and containerization.- Familiarity with agile methodologies like Scrum or Kanban, and experience working in an agile development environment.- In-depth understanding of software design principles, data structures, algorithms, and design patterns.- Excellent problem-solving, analytical, and communication skills.
","Scrum,Software deployment,Mentorship,HTML,Python,Continuous integration,continuous integration and development,Backend development,C,SAP BASIS,Collaboration,Workflow,Data structure,Investments,Data modeling,Design patterns,OER,Data,Redis,Financial services,Innovation,RESTful,Design,Version control,DevOps,React.js,Unit testing,Testing,Professional development,Global Positioning System,RabbitMQ,Kubernetes,User guides,Data Analysis,Message queues,Specification,C#,UI,Docker,Communication,Health care,Database design,API,Finance,Continuous improvement,Database,Roadmaps,Leadership,Cascading style sheets,Customer support,LPS,Analytical skill,NoSQL,Software engineering,Computer science,Scalability,Problem solving,Creativity,Knowledge base,Integration testing,Algorithms,Investment management,Reporting,Software design,Agile,MongoDB,Caching,Apache Cassandra,Selenium,Kanban,Technical writing,Query optimization,Training,.NET,Jenkins,Management,Pivotal,User experience,Mergers and acquisitions,Node.js,Recruiting,Automated testing,JavaScript,Git",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:52:45
